Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Garage,Balcony,Garden,Flooring_Type,Kitchen,Dining,Lift,Floor,Price
Paba,1361,3,2,2012,Yes,2,No,Cement,1,1,Yes,6,4293023
Shah Makhdum,789,1,1,2017,No,1,Yes,Wood,2,1,Yes,4,2662781
Motihar,2107,3,1,2000,No,0,No,Cement,1,1,No,4,7672394
Shah Makhdum,2356,5,1,2003,No,1,No,Wood,1,1,Yes,7,7935288
Shah Makhdum,2159,3,3,2002,Yes,2,Yes,Wood,1,1,No,3,6387955
Rajpara,1355,1,3,2013,Yes,2,Yes,Wood,2,1,Yes,3,4993771
Motihar,2046,4,2,2005,Yes,2,No,Tile,1,1,No,6,7905505
Motihar,1435,1,2,2017,No,2,No,Marble,1,1,No,9,4960778
Motihar,2263,1,2,2019,No,1,No,Tile,1,1,Yes,1,9353826
Shah Makhdum,2228,5,1,2016,No,0,No,Wood,2,1,Yes,5,6885548
Paba,2435,2,3,2006,Yes,1,No,Cement,1,1,Yes,1,7271444
Motihar,732,1,3,2015,No,0,No,Cement,1,1,No,1,2955855
Shah Makhdum,654,5,2,1996,No,2,No,Wood,1,1,Yes,3,2050966
Rajpara,1109,4,3,2004,Yes,0,No,Marble,1,1,Yes,3,4374468
Paba,1269,5,2,2005,Yes,2,No,Tile,2,1,Yes,4,3691224
Rajpara,2289,5,1,2010,Yes,1,No,Tile,1,1,Yes,3,8884475
Paba,1916,3,3,2006,Yes,0,No,Wood,2,1,Yes,6,5711161
Shah Makhdum,1333,2,1,2015,No,1,No,Wood,2,1,Yes,4,4646030
Boalia,2293,2,1,2009,No,2,Yes,Marble,2,1,Yes,8,8725352
Paba,858,4,3,2009,Yes,1,No,Tile,1,1,No,1,2597249
Rajpara,1745,5,2,2012,No,2,No,Marble,2,1,Yes,8,6918519
Shah Makhdum,898,4,3,1994,Yes,2,No,Tile,1,1,Yes,1,3050706
Paba,1160,4,1,1998,Yes,2,Yes,Marble,2,1,No,1,3605926
Boalia,2512,2,2,2012,Yes,1,No,Marble,2,1,No,7,9462941
Boalia,2464,2,1,2007,No,1,Yes,Marble,2,1,No,1,9021759
Motihar,896,2,2,2018,No,0,Yes,Cement,2,1,Yes,9,3712828
Motihar,2061,1,3,2000,Yes,0,Yes,Cement,2,1,Yes,8,8436799
Rajpara,2774,5,1,1997,No,1,No,Cement,2,1,Yes,1,11884368
Paba,796,4,2,2016,No,1,No,Tile,2,1,No,2,2336203
Paba,2868,5,2,1991,Yes,1,No,Marble,2,1,Yes,2,8408194
Motihar,1594,4,3,2012,No,1,No,Wood,1,1,Yes,2,6349402
Paba,2738,4,2,2010,Yes,2,No,Wood,1,1,Yes,6,7530182
Paba,607,4,2,1999,Yes,2,No,Tile,2,1,Yes,4,1756250
Boalia,919,4,1,1993,No,2,Yes,Tile,2,1,Yes,8,3494549
Motihar,2017,3,3,2010,No,1,No,Wood,2,1,Yes,1,7588109
Shah Makhdum,2916,3,3,2001,No,2,No,Marble,1,1,Yes,10,8901774
Motihar,2298,1,1,2003,Yes,2,No,Cement,2,1,Yes,4,8691274
Shah Makhdum,2708,2,1,2009,Yes,0,No,Tile,1,1,No,10,8299200
Boalia,2061,4,1,1997,No,0,No,Tile,1,1,No,5,7600519
Rajpara,1887,5,2,2016,No,2,Yes,Tile,1,1,No,9,8077273
Paba,1718,3,3,2010,Yes,2,No,Wood,1,1,No,5,5445364
Boalia,1152,2,3,2004,No,2,Yes,Cement,1,1,Yes,3,3748991
Paba,1260,1,3,2001,Yes,1,Yes,Marble,2,1,Yes,4,3656059
Rajpara,1315,2,2,1997,No,0,No,Marble,2,1,Yes,10,4959097
Rajpara,2841,4,3,2019,Yes,0,No,Wood,2,1,Yes,7,10324873
Boalia,2058,2,3,1992,No,0,Yes,Tile,2,1,Yes,1,7547556
Rajpara,1454,4,3,2019,Yes,2,No,Wood,2,1,Yes,6,5732667
Shah Makhdum,2859,3,3,2018,No,1,No,Wood,1,1,Yes,8,8740073
Rajpara,1264,3,1,1990,No,0,No,Marble,2,1,Yes,1,4861371
Paba,2497,4,2,2005,Yes,0,No,Cement,2,1,Yes,8,6944181
Paba,2274,5,3,2020,No,1,No,Marble,1,1,Yes,7,7267832
Paba,2868,3,3,1999,No,2,No,Wood,2,1,No,1,7991265
Paba,872,5,3,2019,No,2,No,Wood,1,1,Yes,9,2531407
Shah Makhdum,1777,4,3,2015,No,0,No,Tile,2,1,Yes,3,5126162
Motihar,1872,4,3,2001,No,0,No,Tile,1,1,Yes,2,7023131
Boalia,878,3,1,1994,No,1,No,Wood,2,1,Yes,7,2983760
Paba,1415,5,1,1998,Yes,0,Yes,Marble,2,1,Yes,3,4431017
Rajpara,875,4,2,2000,Yes,1,Yes,Tile,1,1,Yes,1,3650719
Paba,1604,3,2,2012,Yes,0,Yes,Cement,1,1,Yes,10,4367978
Rajpara,1522,4,3,2006,Yes,0,No,Cement,1,1,Yes,3,5620275
Rajpara,1241,2,3,2002,Yes,0,No,Wood,1,1,No,6,5365712
Paba,1104,2,1,2006,Yes,2,No,Cement,1,1,No,3,3505287
Shah Makhdum,1371,3,2,2012,No,1,No,Cement,1,1,Yes,5,4290229
Rajpara,1864,4,3,1998,Yes,1,No,Tile,1,1,Yes,9,6958497
Rajpara,1859,3,3,2007,Yes,2,No,Tile,1,1,No,7,7080233
Paba,1613,1,3,2007,No,2,No,Marble,2,1,Yes,2,4991938
Rajpara,727,3,2,2019,Yes,2,Yes,Tile,2,1,Yes,1,3167098
Rajpara,1823,3,1,2015,No,1,Yes,Marble,1,1,Yes,7,7460792
Paba,2125,2,1,2007,Yes,0,No,Tile,2,1,No,4,5771218
Paba,2273,2,3,2010,No,2,No,Wood,2,1,Yes,7,7024549
Boalia,1091,4,3,2022,No,2,No,Marble,2,1,Yes,6,4158156
Shah Makhdum,1857,3,3,2003,Yes,2,Yes,Wood,2,1,No,7,5774397
Shah Makhdum,2266,3,3,1999,Yes,0,Yes,Marble,1,1,Yes,4,7879959
Rajpara,1015,4,3,2017,No,0,No,Cement,2,1,Yes,3,4198543
Shah Makhdum,2795,5,2,2003,No,2,No,Marble,1,1,No,5,8389177
Rajpara,1569,4,1,2008,No,0,No,Marble,2,1,Yes,3,5830787
Boalia,2676,2,2,2015,No,2,No,Marble,2,1,Yes,3,8759644
Paba,1984,2,2,1999,Yes,0,No,Marble,2,1,Yes,4,6189156
Paba,907,3,3,2006,Yes,1,No,Marble,1,1,Yes,8,2769717
Paba,2809,2,2,2003,Yes,1,No,Cement,2,1,Yes,2,8352073
Shah Makhdum,660,4,1,2015,No,0,No,Marble,1,1,Yes,4,2012041
Boalia,2772,3,3,2008,No,1,No,Wood,2,1,Yes,3,10492191
Shah Makhdum,2079,4,1,2013,Yes,1,No,Marble,1,1,No,7,6271918
Shah Makhdum,2530,4,2,2020,Yes,1,No,Marble,2,1,Yes,2,7745615
Boalia,2890,3,3,1995,Yes,2,Yes,Wood,1,1,Yes,1,9214599
Boalia,2113,5,1,2009,Yes,0,No,Tile,1,1,Yes,10,7063183
Boalia,1072,2,1,2011,No,0,No,Tile,2,1,No,1,4069342
Boalia,1558,1,3,1996,No,0,Yes,Cement,1,1,Yes,6,5112300
Paba,1132,1,1,2022,No,1,No,Marble,2,1,Yes,3,3194931
Motihar,1093,1,3,1995,No,2,Yes,Marble,2,1,Yes,7,4236449
Motihar,681,2,3,2005,Yes,0,No,Tile,2,1,Yes,8,2622452
Boalia,1478,5,2,1997,No,1,No,Marble,2,1,Yes,5,4837746
Motihar,2145,4,1,2012,No,2,Yes,Cement,2,1,No,5,7587382
Motihar,611,3,3,2007,No,2,No,Wood,2,1,Yes,2,2143939
Boalia,1886,5,2,2003,No,0,No,Marble,2,1,Yes,8,7077705
Motihar,1048,1,2,2004,No,0,No,Wood,2,1,Yes,10,4105404
Shah Makhdum,1361,2,3,1994,No,1,No,Cement,2,1,No,1,4750169
Rajpara,625,2,3,2004,No,0,No,Tile,2,1,Yes,10,2332916
Rajpara,2406,3,1,2000,Yes,1,No,Cement,2,1,Yes,9,9548169
Boalia,2168,4,1,1991,Yes,2,No,Cement,1,1,Yes,1,7956847
Paba,661,5,1,2012,Yes,2,Yes,Cement,1,1,Yes,1,1869393
Boalia,828,5,3,2013,No,2,No,Cement,2,1,Yes,1,3005038
Paba,2438,5,2,2007,Yes,2,Yes,Wood,2,1,Yes,7,7275679
Rajpara,1206,4,2,1993,No,0,No,Cement,2,1,Yes,4,4757263
Boalia,1658,4,3,2004,No,0,No,Cement,2,1,Yes,7,5971284
